label_rank_qid,label_rank_name,label_qid,label_name,assigned_node_count,assigned_leaf_node_count,strict_descendant_count,leaf_descendant_count,is_leaf_label
Q2136103,superfamily,Q47546818,Hydrobatoidea,0,0,0,0,1
Q2136103,superfamily,Q47547786,Lanioidea,0,0,0,0,1
Q2136103,superfamily,Q47550918,Meropoidea,0,0,0,0,1
Q2136103,superfamily,Q47600929,Numidoidea,0,0,0,0,1
Q2136103,superfamily,Q47601686,Odontophoroidea,0,0,0,0,1
Q2136103,superfamily,Q47602714,Otidoidea,0,0,0,0,1
Q2136103,superfamily,Q47612010,Pandionoidea,0,0,0,0,1
Q2136103,superfamily,Q47612292,Pelecanoidea,0,0,0,0,1
Q2136103,superfamily,Q47619813,Phaethontoidea,0,0,0,0,1
Q2136103,superfamily,Q47619960,Phalacrocoracoidea,0,0,0,0,1
Q2136103,superfamily,Q47620241,Phoenicopteroidea,0,0,0,0,1
Q2136103,superfamily,Q47623230,Picoidea,0,0,0,0,1
Q2136103,superfamily,Q47624588,Procellarioidea,0,0,0,0,1
Q2136103,superfamily,Q47632270,Pteroclidoidea,0,0,0,0,1
Q2136103,superfamily,Q47632572,Pycnonotoidea,0,0,0,0,1
Q2136103,superfamily,Q47636535,Recurvirostroidea,0,0,0,0,1
Q2136103,superfamily,Q47642194,Scolopacoidea,0,0,0,0,1
Q2136103,superfamily,Q47643495,Stercorarioidea,0,0,0,0,1
Q2136103,superfamily,Q47643844,Strigoidea,0,0,0,0,1
Q2136103,superfamily,Q47644002,Sturnoidea,0,0,0,0,1
Q2136103,superfamily,Q47644338,Suloidea,0,0,0,0,1
Q2136103,superfamily,Q47651076,Threskiornithoidea,0,0,0,0,1
Q2136103,superfamily,Q47651989,Turnicoidea,0,0,0,0,1
Q2136103,superfamily,Q47652627,Tytonoidea,0,0,0,0,1
Q2136103,superfamily,Q47654894,Upupoidea,0,0,0,0,1
Q2136103,superfamily,Q47655301,Vireonoidea,0,0,0,0,1
Q2136103,superfamily,Q92281559,Pachycephaloidea,0,0,0,0,1
Q2136103,superfamily,Q92281566,Cnemophiliodea,0,0,0,0,1
Q2136103,superfamily,Q92282931,Petroicoidea,0,0,0,0,1
Q35409,family,Q200989,Muscicapidae,1649,1336,1649,1336,0
Q35409,family,Q217478,Tyrannidae,1568,1232,1568,1232,0
Q35409,family,Q666222,Thraupidae,1416,1119,1416,1119,0
Q35409,family,Q839859,Furnariidae,1377,1110,1377,1110,0
Q35409,family,Q43624,Trochilidae,1358,1064,1358,1064,0
Q35409,family,Q10856,Columbidae,1354,1098,1354,1098,0
Q35409,family,Q160835,Fringillidae,1274,1050,1274,1050,0
Q35409,family,Q8327,Psittacidae,1250,979,1250,979,0
Q35409,family,Q26375,Phasianidae,1018,832,1018,832,0
Q35409,family,Q25510,Accipitridae,1007,795,1007,795,0
Q35409,family,Q26012,true owls,986,834,986,834,0
Q35409,family,Q427512,Thamnophilidae,944,745,944,745,0
Q35409,family,Q187014,Sylviidae,941,773,941,773,0
Q35409,family,Q208221,sunbird,852,698,852,698,0
Q35409,family,Q550595,Cisticolidae,830,695,830,695,0
Q35409,family,Q26050,Turdidae,829,704,829,704,0
Q35409,family,Q25565,Corvidae,812,685,812,685,0
Q35409,family,Q211670,Meliphagidae,784,606,784,606,0
Q35409,family,Q25439,Picidae,767,621,767,621,0
Q35409,family,Q26623,Rallidae,739,592,739,592,0
Q35409,family,Q188854,Pycnonotidae,729,578,729,578,0
Q35409,family,Q29858,Alaudidae,725,622,725,622,0
Q35409,family,Q7556,Anatidae,696,521,696,521,0
Q35409,family,Q739200,Parulidae,586,475,586,475,0
Q35409,family,Q1425706,Passerellidae,582,489,582,489,0
Q35409,family,Q732881,Campephagidae,579,493,579,493,0
Q35409,family,Q208304,Troglodytidae,572,493,572,493,0
Q35409,family,Q28486,Emberizidae,572,466,572,466,0
Q35409,family,Q26381,Cuculidae,565,443,565,443,0
Q35409,family,Q214462,Estrildidae,554,429,554,429,0
Q35409,family,Q8154335,Alcedinidae,553,455,553,455,0
Q35409,family,Q1951184,Leiothrichidae,549,437,549,437,0
Q35409,family,Q371086,Zosteropidae,512,435,512,435,0
Q35409,family,Q168473,Paridae,481,400,481,400,0
Q35409,family,Q27589,Laridae,461,367,461,367,0
Q35409,family,Q26617,Apodidae,459,366,459,366,0
Q35409,family,Q748159,Icteridae,454,357,454,357,0
Q35409,family,Q681374,Monarchidae,451,371,451,371,0
Q35409,family,Q185237,Sturnidae,446,348,446,348,0
Q35409,family,Q27244,Caprimulgidae,434,350,434,350,0
Q35409,family,Q39861,Hirundinidae,429,340,429,340,0
Q35409,family,Q26626,Scolopacidae,395,320,395,320,0
Q35409,family,Q211601,Ploceidae,383,302,383,302,0
Q35409,family,Q205943,Motacillidae,381,326,381,326,0
Q35409,family,Q18789,heron,333,260,333,260,0
Q35409,family,Q223402,Cardinalidae,332,268,332,268,0
Q35409,family,Q774034,Locustellidae,326,257,326,257,0
Q35409,family,Q461021,Formicariidae,321,268,321,268,0
Q35409,family,Q21744,Falconidae,319,264,319,264,0
Q35409,family,Q748220,Vireonidae,298,257,298,257,0
Q35409,family,Q11846584,Pardalotidae,279,229,279,229,0
Q35409,family,Q408457,Timaliidae,279,231,279,231,0
Q35409,family,Q1929497,Phylloscopidae,278,229,278,229,0
Q35409,family,Q207767,Procellariidae,267,219,267,219,0
Q35409,family,Q833811,Bushshrike,251,197,251,197,0
Q35409,family,Q2787489,Pellorneidae,249,202,249,202,0
Q35409,family,Q829925,Petroicidae,235,178,235,178,0
Q35409,family,Q19172,Tinamidae,234,197,234,197,0
Q35409,family,Q28449,Charadriidae,231,179,231,179,0
Q35409,family,Q1069958,Tityridae,223,179,223,179,0
Q35409,family,Q847173,Rhipiduridae,219,190,219,190,0
Q35409,family,Q2527969,Lybiidae,216,169,216,169,0
Q35409,family,Q379200,Pipridae,209,165,209,165,0
Q35409,family,Q26773,hornbill,207,158,207,158,0
Q35409,family,Q755540,Dicaeidae,206,172,206,172,0
Q35409,family,Q366974,Acrocephalidae,202,162,202,162,0
Q35409,family,Q72968,Odontophoridae,200,162,200,162,0
Q35409,family,Q28922,Passeridae,189,149,189,149,0
Q35409,family,Q171052,Laniidae,185,156,185,156,0
Q35409,family,Q222432,Cettiidae,182,150,182,150,0
Q35409,family,Q103813094,Paradoxornithidae,180,141,180,141,0
Q35409,family,Q202955,Oriolidae,176,149,176,149,0
Q35409,family,Q7256090,Psittaculidae,176,144,176,144,0
Q35409,family,Q179333,birds-of-paradise,175,126,175,126,0
Q35409,family,Q191469,trogon,168,135,168,135,0
Q35409,family,Q217472,Pittidae,168,139,168,139,0
Q35409,family,Q647533,Cotingidae,166,121,166,121,0
Q35409,family,Q1325045,toucan,165,126,165,126,0
Q35409,family,Q839526,drongo,161,140,161,140,0
Q35409,family,Q3901247,Phalacrocoracidae,158,131,158,131,0
Q35409,family,Q621861,Bucconidae,157,128,157,128,0
Q35409,family,Q725342,Cracidae,155,120,155,120,0
Q35409,family,Q587527,Vangidae,144,102,144,102,0
Q35409,family,Q205857,Sittidae,141,119,141,119,0
Q35409,family,Q205938,treecreeper,130,115,130,115,0
Q35409,family,Q935463,Megalaimidae,128,105,128,105,0
Q35409,family,Q420841,Maluridae,127,103,127,103,0
Q35409,family,Q27112,Tytonidae,125,110,125,110,0
Q35409,family,Q753221,Mimidae,125,95,125,95,0
Q35409,family,Q21755,Otididae,118,90,118,90,0
Q35409,family,Q9147,penguin,115,85,115,85,0
Q35409,family,Q21695,Podicipedidae,111,85,111,85,0
Q35409,family,Q162085,Ibises and Spoonbills,109,75,109,75,0
Q35409,family,Q183147,Meropidae,109,89,109,89,0
Q35409,family,Q193404,Hydrobatidae,108,83,108,83,0
Q35409,family,Q28294,Alcidae,105,80,105,80,0
Q35409,family,Q213536,megapode,101,79,101,79,0
Q35409,family,Q782355,Acanthizidae,96,71,96,71,0
Q35409,family,Q205320,Buttonquail,92,80,92,80,0
